site_id,initial_N_rate,other_N,plantation_day,DTTD,SRAD,TMAX,TMIN,N_uptake,inorganic_N
1,50,135,0,20.31,22,34,20,0,80.46
1,50,135,1,17,13,30,19,0,85.06125
1,50,135,2,17.53,22,30,19,0,86.355
1,50,135,3,19.72,22,33,20,0,87.3675
1,50,135,4,19,20,32,20,0,89.8725
1,50,135,5,19.47,21,32,21,0.88,91.0875
1,50,135,6,19.47,21,32,21,0.88,92.72625
1,50,135,7,19.25,20,31,22,0.88,93.9825
1,50,135,8,15.9,15,27,20,0.88,97.86
1,50,135,9,17.59,23,30,19,0.88,98.87625
1,50,135,10,17.47,21,30,19,0.87,98.8125
1,50,135,11,16.71,10,28,21,1.0461,101.1225
1,50,135,12,17.06,16,29,20,1.3948,104.4525
1,50,135,13,17,20,30,18,1.7864,101.11875
1,50,135,14,17.87,18,31,19,2.2365,101.53125
1,50,135,15,18.06,21,31,19,2.7857,99.56625
1,50,135,16,19.06,21,32,20,3.4668,98.3775
1,50,135,17,18.12,22,31,19,4.2196,97.9425
1,50,135,18,17.82,21,32,17,5.236,97.395
1,50,135,19,19.09,19,33,19,8.106,96.3525
1,50,135,20,19.51,19,33,20,9.7902,93.22125
1,50,135,21,19.51,19,33,20,11.5238,132.135
1,50,135,22,17,20,30,18,13.32,127.05
1,50,135,23,16.58,20,30,17,15.2574,126.55875
1,50,135,24,16.93,19,30,18,17.4696,125.9775
1,50,135,25,15.5,18,30,17,19.7225,124.2225
1,50,135,26,14.5,21,29,16,22.5108,121.635
1,50,135,27,15,21,29,17,25.5078,117.7575
1,50,135,28,15.5,19,30,17,28.7328,114.1875
1,50,135,29,16,18,31,17,32.2031,110.39625
1,50,135,30,17,20,33,17,36.093,105.94125
1,50,135,31,16,17,30,18,39.8762,100.245
1,50,135,32,16.5,20,31,18,43.9824,94.7025
1,50,135,33,17,19,31,19,48.4194,87.9525
1,50,135,34,17,19,32,18,53.0738,81.82875
1,50,135,35,17,19,32,18,58.1238,75.73875
1,50,135,36,17.5,18,33,18,63.4355,69.75
1,50,135,37,17,19,31,19,69.3528,64.05375
1,50,135,38,16.5,18,32,17,75.18,57.79875
1,50,135,39,16.5,16,31,18,79.8875,52.14375
1,50,135,40,16.5,18,30,19,83.7618,47.70375
1,50,135,41,17.5,18,32,19,86.724,44.2725
1,50,135,42,15.5,18,31,16,88.7625,43.1175
1,50,135,43,16,18,32,16,92.5148,42.56625
1,50,135,44,16,17,32,16,95.9488,41.8875
1,50,135,45,15.5,17,31,16,98.4676,41.2425
1,50,135,46,16,18,31,17,100.9764,40.6575
1,50,135,47,16,17,32,16,102.3141,40.13625
1,50,135,48,17,13,31,19,103.2364,39.98625
1,50,135,49,15.5,13,28,19,104.3048,40.17375
1,50,135,50,14.5,17,30,15,104.921,40.29375
1,50,135,51,15,12,28,18,106.0812,45.855
1,50,135,52,14,10,26,18,107.0912,48.0225
1,50,135,53,15,15,29,17,110.0345,49.51875
1,50,135,54,15,15,28,18,113.3184,55.96875
1,50,135,55,14.5,17,28,17,117.1575,57.32625
1,50,135,56,14.5,12,28,17,119.7728,57.89625
1,50,135,57,13,10,25,17,122.7825,58.3125
1,50,135,58,13.5,17,28,15,126.9184,58.515
1,50,135,59,14.5,16,29,16,131.2416,58.7475
1,50,135,60,14.5,16,29,16,131.5613,58.9875
2,10,247,0,15.71,23,27.4,18.2,0,107.14975
2,10,247,1,13.51,14.2,25,17.2,0,107.039625
2,10,247,2,15.99,25.3,27.8,18,0,106.56575
2,10,247,3,14.75,15.3,26.2,18.4,0,104.336625
2,10,247,4,12.36,10.4,24.2,16,0,102.799875
2,10,247,5,12.39,9.9,23.4,17,0,103.920875
2,10,247,6,14.15,23,25.6,17,0,102.7005
2,10,247,7,15.45,20.8,27,18.4,0,103.637
2,10,247,8,13.54,12.6,24,18.6,1.32,104.043375
2,10,247,9,14.48,13.1,26.2,18,1.32,104.994625
2,10,247,10,12.6,14.2,23.6,16.9,1.32,103.9595
2,10,247,11,11.18,9.9,22,16,1.32,101.388875
2,10,247,12,13.76,14.6,26.4,16,1.32,98.731
2,10,247,13,11.32,12.1,21.8,16.4,1.32,98.17925
2,10,247,14,11.74,12.6,21.7,17.4,1.32,97.881875
2,10,247,15,12.56,12.6,22.8,17.9,1.32,97.43225
2,10,247,16,13.05,15.3,23.3,18.2,1.32,95.039
2,10,247,17,12.76,20.8,23.2,17.3,1.32,92.051125
2,10,247,18,10.75,8.8,19.8,17.6,1.32,88.0665
2,10,247,19,11.52,13.7,22,16.5,1.3398,82.45525
2,10,247,20,12.38,16.4,23,17,1.3653,81.40475
2,10,247,21,13.88,20.3,25.2,17.2,1.5265,80.493375
2,10,247,22,11.87,9.9,21.8,17.7,1.7578,73.978125
2,10,247,23,10.44,3.3,19.3,17.6,1.9482,67.52175
2,10,247,24,11.63,10.4,21.6,17.4,2.0608,64.110375
2,10,247,25,12.45,9.9,22.8,17.8,2.268,63.113625
2,10,247,26,13.19,15.9,24,17.6,2.4992,58.315375
2,10,247,27,10.65,8.8,19.6,17.6,2.772,56.18625
2,10,247,28,13.29,14.8,24.4,17.4,3.0102,54.996375
2,10,247,29,13.01,17,24,17.1,3.3174,53.4705
2,10,247,30,11.86,9.9,21.6,17.9,3.6994,51.148875
2,10,247,31,12,13.1,22,17.6,3.9458,44.9105
2,10,247,32,11.7,12.6,21.8,17.2,4.1866,43.744125
2,10,247,33,11.12,11.5,20.6,17.4,4.4616,40.194375
2,10,247,34,13.77,17,24.8,17.8,4.815,39.02025
2,10,247,35,12.35,9.3,23,17.4,5.1603,38.1745
2,10,247,36,14.25,20.8,25.8,17.2,5.434,35.184625
2,10,247,37,14,20.8,25.8,16.6,5.698,34.628625
2,10,247,38,13.11,26.3,23.3,17.6,6.6822,34.203875
2,10,247,39,15.53,20.6,28.7,16.2,7.9464,31.83225
2,10,247,40,15.71,30.4,27.4,17.2,9.0774,28.703375
2,10,247,41,15,24.7,29.2,16.8,10.0815,26.0265
2,10,247,42,16.5,27.9,29.8,19.2,11.0058,23.952125
2,10,247,43,16.55,27.9,29.7,19.4,11.8524,21.630375
2,10,247,44,15.2,26.3,28.2,18.2,12.576,19.664125
2,10,247,45,14.4,21.4,27.2,17.6,13.2296,17.891
2,10,247,46,14.45,14.8,26.3,18.6,13.806,16.40375
2,10,247,47,13.65,15.9,26.3,17,14.4136,15.044
2,10,247,48,14.45,21.9,27.9,17,14.817,13.85425
2,10,247,49,15.05,23,28.6,17.5,17.7785,12.792
2,10,247,50,15.05,26.3,28.9,17.2,20.46,11.88425
2,10,247,51,15.25,26.3,28.3,18.2,22.7392,11.16575
2,10,247,52,14.2,28.5,28.4,16,24.6175,10.578625
2,10,247,53,14,24.7,27.8,16.2,26.3344,10.06875
2,10,247,54,13.85,12.6,26.2,17.5,28.0264,9.64
2,10,247,55,14.65,26.8,28,17.3,29.3344,9.06775
2,10,247,56,14.45,23.6,28.2,16.7,30.3195,8.720125
2,10,247,57,15.7,25.7,29.2,18.2,31.1508,8.453625
2,10,247,58,15.55,18.1,29.1,18,31.8,8.19875
2,10,247,59,11.25,7.7,21.3,17.2,32.3895,7.998
3,200,133,0,4.8,21.7,20.1,2.2,0,194.787666666667
3,200,133,1,8.88,22.3,24.9,5.1,0,196.037041666667
3,200,133,2,10.82,11,24.4,12.4,0,196.960108333333
3,200,133,3,12.31,19.4,28.8,8.6,0,197.525316666667
3,200,133,4,14.86,18,28.8,14.9,0,197.9413
3,200,133,5,17.34,20.4,31.4,16.8,0,198.202966666667
3,200,133,6,15.28,20.4,29.3,14.8,1.232,198.379991666667
3,200,133,7,11.64,13.3,25.7,12.3,1.232,198.465616666667
3,200,133,8,10.05,22.5,23.3,10.3,1.232,198.545766666667
3,200,133,9,8.03,23.1,24.6,3.2,1.232,198.57425
3,200,133,10,11.38,16.5,25.7,11.2,1.232,198.522583333333
3,200,133,11,17.31,16.8,32.6,15.8,1.232,198.458983333333
3,200,133,12,15.5,21.2,29.7,14.6,1.232,198.376691666667
3,200,133,13,14.72,17.2,29.8,13.4,1.2474,204.542091666667
3,200,133,14,9.19,22.3,21.6,10.7,1.3845,202.1867
3,200,133,15,10.18,13.4,24.1,11,1.5916,199.996208333333
3,200,133,16,15.19,13,28,17.4,1.8328,198.335025
3,200,133,17,13.58,22,25.6,15.7,2.3075,197.989966666667
3,200,133,18,8.82,24.4,23.2,7,2.8188,197.088925
3,200,133,19,10.48,23.6,26.6,6.2,3.1678,196.081216666667
3,200,133,20,18.14,23.6,33.3,15.3,3.596,195.378033333333
3,200,133,21,18.95,23.8,33.9,16.4,4.4998,194.575325
3,200,133,22,18.43,19.4,31.6,19.3,5.79,193.046725
3,200,133,23,18.33,23.8,32.6,16.8,7.3143,191.109758333333
3,200,133,24,15.42,19,28.4,16.6,10.875,198.504066666667
3,200,133,25,8.79,23.9,22.5,8.1,11.7711,192.846275
3,200,133,26,8.43,25.5,24.3,4,12.5989,188.105375
3,200,133,27,12.31,24.9,30.2,4.9,14.0935,185.614975
3,200,133,28,15.32,22.9,32.2,10.1,16.205,182.637608333333
3,200,133,29,14.96,12.8,28.7,16.1,18.4384,178.799791666667
3,200,133,30,4.66,1.7,17.7,7.9,18.8856,174.792241666667
3,200,133,31,7.26,16.7,20,9.1,20.026,172.171408333333
3,200,133,32,9.59,8.4,20.6,14.3,21.6354,168.321208333333
3,200,133,33,11.3,9.2,24.3,14.3,23.7762,166.724908333333
3,200,133,34,13.4,20.9,27.2,15.6,26.5174,164.715366666667
3,200,133,35,9.8,24.2,25.8,9.8,28.7532,158.693791666667
3,200,133,36,10.4,24.6,26.7,10.1,31.6204,153.517966666667
3,200,133,37,12.3,24.9,29.7,10.9,35.2026,147.244283333333
3,200,133,38,14.4,21.5,28.2,16.6,39.6582,139.979316666667
3,200,133,39,9.85,23.3,25.1,10.6,42.7625,132.831741666667
3,200,133,40,11.35,18.5,25.4,13.3,46.3877,125.900625
3,200,133,41,14.9,18.6,30.1,15.7,51.51,120.203625
